1657695906444  ;2;-33.7348637;150.9335167
1657695906445  ;2;-33.7348637;150.9335167
1657695906446  ;2;-33.7348637;150.9335167
1657696204441  ;2;-33.7348047;150.9334473
1657696204441  ;2;-33.7348047;150.9334473
1657696204441  ;1;-33.7348047;150.9334473
1661326665286  ;106;-33.7348943;150.9333052
1661326708860  ;121;-33.7349223;150.9333108
1661326722393  ;3;-33.7349032;150.9333045
1661326763858  ;133;-33.7349275;150.9333142
1661330023778  ;126;-33.7348978;150.933481
1661330035642  ;125;-33.7348927;150.9334825
1661330094049  ;140;-33.7349323;150.9333725
1661330121100  ;130;-33.7349283;150.9333748
1661330130921  ;3;-33.734936;150.9334342
1661330143428  ;4;-33.7349352;150.9334328
1661330155484  ;121;-33.7349372;150.933441
1661330167565  ;51;-33.7349317;150.9334298
1661330180468  ;51;-33.734928;150.9334305
1661330194585  ;51;-33.734923;150.9334342
1661330224904  ;50;-33.7349198;150.9334333
1661330252335  ;51;-33.7349173;150.9334283
1661330273689  ;51;-33.7349213;150.9334298
1661330285530  ;51;-33.7349242;150.9334318
1661330297795  ;51;-33.7349265;150.9334452
1661330310710  ;50;-33.7349293;150.9334517
1661330320540  ;51;-33.73493;150.9334538
1661330354639  ;51;-33.734929;150.9334557
1661330366621  ;51;-33.73493;150.9334583
1661330378503  ;52;-33.7349293;150.9334595
1661330390582  ;51;-33.7349307;150.9334612
1661330402868  ;51;-33.7349335;150.9334547
1661330416175  ;51;-33.7349337;150.9334532
1661330427444  ;51;-33.7349348;150.9334513
1661330449158  ;51;-33.7349365;150.9334512
1661330460627  ;52;-33.7349412;150.9334595
1661330482111  ;50;-33.734944;150.933466
1661330495839  ;51;-33.7349443;150.9334695
1661330506713  ;51;-33.7349423;150.9334642
1661330521073  ;51;-33.7349395;150.9334632
1661330532501  ;51;-33.7349347;150.9334628
1661330555033  ;51;-33.7349325;150.933459
1661330580009  ;4;-33.7349373;150.9334533
1661330594134  ;4;-33.7349363;150.9334402
1661330606423  ;123;-33.73492;150.933468
1661330620553  ;135;-33.7349472;150.9334522
1661330633754  ;112;-33.7349517;150.9334447
1661330651487  ;130;-33.7348913;150.933467
1661330661828  ;4;-33.7348973;150.9334765
1661330675042  ;253;-33.7349228;150.9334813
1661330686318  ;250;-33.734933;150.9334725
1661330705749  ;252;-33.7349362;150.9334703
1661330724994  ;250;-33.7349395;150.9334683
1661330739132  ;253;-33.7349418;150.9334612
1661330761264  ;251;-33.734947;150.9334522
1661330772921  ;250;-33.7349468;150.9334487
1661330786443  ;250;-33.7349425;150.9334492
1661330807746  ;251;-33.7349363;150.9334507
1661330821858  ;249;-33.7349238;150.9334525
1661330833546  ;251;-33.7349232;150.9334562
